month,year,hour,lat,long
10,2010,1,-6.33333,106
10,2010,8,42.38333,-2.5
10,2010,15,52.73333,84.08333
10,2010,18,52,9.1
10,2010,20,31.61667,76.8
10,2010,21,52.56528,-1.33972
10,2011,0,15.78333,-5.9
10,2011,10,52.03333,20.93583
10,2011,15,45.41667,-98.31667
10,2011,19,38.25,-83.75
10,2011,21,40.66813,-117.18913
10,2011,23,11.08333,-0.18333
10,2012,18,36.75,-93.5
10,2012,19,39.8,-101.2
10,2012,20,51.16667,-117.33333
10,2012,20,53.01667,-4.1
10,2012,20,33.6,-96.46667
10,2012,21,32.25,-8.15
10,2013,0,32.86667,10.8
10,2013,17,39.08333,-89.15
10,2013,19,-26.16667,28.41667
10,2013,20,30,-7
10,2013,20,45.95,-67.55
10,2013,21,-31.91,-58.32833
10,1978,23,11.65,-3.65
10,1987,23,41.68333,-3.8
10,1992,10,40.30583,-105.02325
10,1995,18,42.53333,-73.83333
10,1997,22,43.21667,-0.23333
10,1998,14,33.88333,35.5
10,1998,22,20.88333,74.83333
10,1999,6,26.50833,73.11528
10,1999,18,20.83333,71.46667
10,1999,20,22.68333,90.65
10,1999,21,22.08333,86.9
10,1999,21,53.1,23.2
10,1999,22,50.13333,27.16667
10,2000,22,12.45,-0.08333
10,2001,1,-33.15639,115.67639
10,2001,8,13.76667,5.3
10,2002,6,34.16667,-80.28333
10,2002,20,25.38333,82.6
10,2003,1,60.4,25.8
10,2003,11,40.91667,-78.08333
10,2003,20,36.83333,-97.33333
10,2004,1,31.83333,-98.83333
10,2004,4,49.36667,16.63333
10,2004,11,40.48,-89.00417
10,2004,19,33.83333,115.83333
10,2004,23,23,-102
10,2005,3,12.5,0.7
10,2005,16,44.55,131.63333
10,2005,19,44.86667,10.05
10,2005,19,21.95,78.03333
10,2005,21,54.23333,52.48333
10,2006,5,48.15,24.28333
10,2006,19,55.46667,35.86667
10,2006,21,51.33333,33.88333
10,2006,22,17.71067,-11.3715
10,2007,4,17.17493,-11.34133
10,2007,19,54.56667,-6.33333
10,2007,20,40.5,-80.08333
10,2008,4,50.6,16.3
10,2008,17,50.66694,8.18361
10,2008,19,53.4,9.1
10,2008,20,52.13333,59.31667
10,2009,0,53.9,-112.88333
10,2009,4,39.77978,64.60035
10,2009,18,-31.35,129.19
10,2009,19,10.01667,9.58333
10,2010,4,5,48
10,2010,12,37.62194,-82.23722
10,2010,20,40.2,29.23333
10,2011,3,46.45,25.78333
10,2011,19,26.78333,82.83333
10,2011,21,27.08333,84.08333
10,2012,2,52.996,-109.84817
10,2012,8,37.98333,-1.16667
10,2012,19,35.5,-93.5
10,2012,20,43.83889,20.33333
10,2012,22,3.405,-76.51
10,2013,6,11.75,122.33333
10,2013,16,-7.03333,-40.16667
10,2013,19,39.8,26.6
10,2013,20,41.25,1.66667
10,2013,20,43.38333,-5.15
10,2013,21,38.47028,-105.24139
10,2013,22,37.26667,-89.58333
10,2013,22,-30.88333,-64.55
10,1950,11,-16.66444,-69.04389
10,1954,19,38.5,27
10,1957,16,36.08333,-78.06667
10,1959,19,44.38333,-68.75
10,1961,19,36.5,-79.25
10,1965,14,26.46667,-105.23333
10,1966,20,43.2,-96.91667
10,1966,23,45.08333,8.3
10,1967,19,28.53333,109.31667
10,1968,20,25.36667,81.66667
10,1970,1,25.85,83.48333
10,1970,19,-30.78333,-58.05
10,1970,23,20.26667,76.01667
10,1972,4,27.28333,79.05
10,1972,23,29.08333,111.75
10,1973,20,46.68333,1.05
10,1973,21,36.16667,-87.33333
10,1974,1,47.93333,1.56667
10,1974,20,29.48333,75.5
10,1975,22,47.71667,5.36667
10,1976,21,47.93333,2.91667
10,1977,22,41.93333,-7.46667
10,1978,23,-3.66667,32.5
10,1979,21,54.81667,61.11667
10,1979,23,23.69639,-5.01472
10,1980,21,53.7,30.1
10,1981,20,35.03333,-81.88333
10,1983,20,46.55,6.81667
10,1984,1,50.83333,34
10,1985,0,14.5,76.5
10,1985,21,17.9,101.63333
10,1986,1,40.93333,-79.73333
10,1987,1,-10.05944,33.395
10,1987,21,47.47083,0.97667
10,1989,18,-6.95,108.1
10,1989,21,32.1025,-81.87278
10,1990,20,44.9,-90.28333
10,1991,17,-33.13333,19.38333
10,1991,20,43.76111,-84.50778
10,1992,1,42.53333,12.61667
10,1992,19,-19.85,-47.55
10,1993,20,21.16667,-100.86667
10,1994,17,10.2,76.26667
10,1994,21,35.95,-97.58333
10,1995,12,-27.7,27.3
10,1995,17,35.63333,-78.13333
10,1995,22,54.61667,-6.21667
10,1995,23,36.83333,-84.35
10,1996,5,38.4,-84.25
10,1996,18,35.61667,8.83333
10,1997,1,26.91667,83.96667
10,1997,9,-28.2,24.56667
10,1997,21,34.4,-87.06667
10,1997,21,49.86667,8.65
10,1998,0,41.98444,59.685
10,1998,2,-1.87089,-79.95756
10,1998,10,43,-80
10,1998,18,40.25,-74
10,1998,21,28.56667,77.25
10,1998,23,51.46667,84.76667
10,1999,4,39.7825,-104.93056
10,1999,18,26.68333,93.86667
10,1999,20,25.73333,73.61667
10,2000,1,19,81
10,2000,13,24.225,76.525
10,2000,19,22.37778,71.42722
10,2000,20,14.88333,75.6
10,2000,21,32.23333,76.46667
10,2000,22,37.35172,27.32997
10,2001,19,-33.75,18.56667
10,2001,21,-31.88333,-60.46667
10,2001,22,-7.5,111.5
10,2002,0,12.73333,15.05
10,2002,5,36.95,9.55
10,2002,5,23.5,90.33333
10,2002,5,50.75,25.3
10,2002,5,40,29
10,2002,7,45.5,119.03333
10,2002,14,21.86667,82.45
10,2002,17,32.91667,120.78333
10,2002,19,51.2,112.3
10,2002,22,13.05,3.16667
10,2003,0,32.33333,-6.3
10,2003,16,-13.66667,33.91667
10,2003,21,36.4,-86.5
10,2003,22,42.52,-82.26
10,2003,23,42.45833,18.44167
10,2004,20,-31.66667,152.83333
10,2004,22,52.55,-8.03333
10,2004,23,30.3,76.63333
10,2005,0,-4,39.5
10,2005,0,33.43333,127.26667
10,2005,0,-27.2,31.31667
10,2005,1,26.25,82
10,2005,1,-3,151
10,2005,1,40.78167,-96.47167
10,2005,1,-17.3,15.83333
10,2005,1,56.03333,13
10,2005,1,28.26667,78.78333
10,2005,6,34.41667,3.25
10,2005,12,25.37,-97.37
10,2005,18,19.96722,-103.05167
10,2005,20,39.24667,-104.58817
10,2005,20,47.83333,37.66667
10,2005,21,51.75,4
10,2005,23,-29.46667,151.61667
10,2006,1,30.3,109.5
10,2006,6,48.18333,6.46667
10,2006,14,19.03333,81.89167
10,2006,17,40.3,44.5
10,2006,19,1.16667,44.16667
10,2006,20,52.21667,11.25
10,2006,20,46.25,-1.1
10,2006,21,2.88333,30.83333
10,2006,22,43.41667,-94.83333
10,2006,23,39.75,-97.03333
10,2006,23,35.55,-77.53333
10,2006,23,44.38333,2.81667
10,2006,23,36.05,-94.16667
10,2006,23,36.88333,8.45
10,2006,23,32.53333,-87.16667
10,2006,23,34.6,116.75
10,2006,23,36.1,-81.41667
10,2006,23,43.18111,13.75333
10,2007,0,47.81667,-96.85
10,2007,1,30.83333,-97.76667
10,2007,9,43.25,-93.66667
10,2007,19,-33.35,146.85833
10,2007,20,36.78333,-78.08333
10,2007,21,50.95,7.31667
10,2008,0,33.01667,-83.96667
10,2008,5,34.48333,-87.83333
10,2008,9,31.47556,113.56694
10,2008,19,33.18333,130.2
10,2008,20,25.95,80.81667
10,2008,20,32.9,115.9
10,2008,20,44.3,0.4
10,2008,21,7.05,12.43333
10,2008,22,7.05,12.43333
10,2009,4,51.68333,30.78333
10,2009,15,27.35,68.53333
10,2009,20,27.88333,68.53333
10,2009,23,41.68333,-112.13333
10,2010,6,12.85,11.03333
10,2010,9,12.91667,11.91667
10,2010,16,35.53333,136.88333
10,2010,20,37.31667,13.56667
10,2010,23,9.6,9.91667
10,2011,0,52.2,6.86667
10,2011,6,-7.25,107.7
10,2011,16,57.35,37.61667
10,2011,20,52.45972,-0.3
10,2011,21,50.66667,16.76667
10,2011,21,24.23333,89.05
10,2011,23,48.28333,38.08333
10,2011,23,42.9,2.25
10,2012,1,60.66667,11
10,2012,8,43.2,-79.61667
10,2012,17,43.66667,45.38333
10,2012,20,49.26667,18.71667
10,2012,20,46.35,30.58333
10,2012,24,51.93333,15.5
10,2013,7,52.86667,16.63333
10,2013,9,-33,-58.61667
10,2013,12,39.80417,122.76389
10,2013,19,37.1,118.4
10,2013,20,38.73333,-6.01667
10,2013,22,43.76667,20.23333
10,2013,23,13.5,-0.68333
10,1965,13,9.91667,13.98333
10,1973,19,22.98333,76.05
10,1978,21,11.49167,11.65833
10,1982,5,42.9,24.7
10,1988,16,13.78333,78.56667
10,1994,21,9.36667,42.41667
10,1997,18,51.91667,8.38333
10,1997,22,35,127.5
10,1998,4,35.65,139.33333
10,1998,19,50.31667,3.73333
10,1999,9,57.81667,16.23333
10,1999,17,41.38333,-86.6
10,1999,21,26.8,82.53333
10,1999,23,28.38333,75.78333
10,2000,11,32.675,-94.51167
10,2000,18,38.25,-86.16667
10,2000,19,35.2945,136.70033
10,2000,21,28.95,0.81667
10,2001,15,60.24556,22.06194
10,2001,20,55.46667,13.78333
10,2002,11,27.33333,35.66667
10,2002,18,10,-84.1
10,2002,19,59.85,17.66667
10,2002,20,33.6,130.43333
10,2003,0,55.9,-4.23333
10,2003,13,34.45,132.38333
10,2003,18,1.345,31.47278
10,2003,24,64.43333,21.2
10,2004,0,34.9,-110.18333
10,2004,12,9.06667,38.41667
10,2004,16,41.8,-91.86667
10,2004,21,21.3,-157.86667
10,2005,1,35.66667,115.5
10,2005,13,39.35,-100.45
10,2005,20,26.46469,106.63241
10,2005,21,50.3,8.91667
10,2006,17,61.18333,22.68333
10,2006,20,52.28333,7.7
10,2007,1,-20,-45
10,2007,14,58.2,82.93333
10,2007,21,-32.1,28.33333
10,2007,22,-23.2,-51.83333
10,2008,5,-6.03333,145.36667
10,2008,9,39.75,46.66667
10,2008,19,39.08333,-94.4
10,2008,21,41,112
10,2008,23,53.415,-111.3375
10,2009,20,-25.5,-54.5
10,2010,0,-8.93333,33.8
10,2010,6,-31.18333,-57.95
10,2010,12,-3.4,-44.33333
10,2010,19,26.59083,-12.95217
10,2010,20,-8.41667,32.43333
10,2010,22,-32.5,21.9
10,2011,17,26.75,68.41667
10,2011,20,18.75,75.33333
10,2011,21,39.7,105.8
10,2012,6,43.83333,20.44167
10,2012,15,46.42137,14.05217
10,2012,18,31.3,72.38333
10,2012,19,31.91667,104.91667
10,2012,19,30.80833,109.5
10,2012,20,44.05,126.16667
10,2012,20,22.68,70.31333
10,2012,20,55.7,24.4
10,2012,21,40.35,-104.9
10,2012,23,-11.85,15.83333
10,2013,4,45.43333,-0.45
10,2013,13,35.5,115.41667
10,2013,18,12.85,76.8
10,2013,20,-7.71667,111.2
10,2013,20,35.2,118.8
10,2013,20,38.74028,-7.27
10,2013,21,44.71667,4.3
10,2013,21,47.35,21.3
10,2013,22,11.85,8.21667
10,2013,22,27.08333,78.33333
10,2013,22,27.25,79.96667
10,2013,23,49.86667,30.83333
10,1966,7,15,48.3
10,1971,21,55.43333,53.25
10,1992,17,12.38333,78.51667
10,1995,6,45.13333,21.66667
10,1996,3,-6.83333,29.5
10,1996,19,17.83333,73.98333
10,1997,20,26.03333,81.46667
10,1998,6,36.04167,139.95667
10,1999,17,14.18333,75.8
10,1999,22,31.6,65.78333
10,2000,1,-7,115.5
10,2000,18,32.08333,76.3
10,2000,19,4.7,33.63333
10,2000,19,20.33916,73.22329
10,2000,19,42.45,73.36667
10,2000,21,47.21667,81.01667
10,2001,15,-3.5,35.58333
10,2001,19,12.9,7.15
10,2002,4,27.8,67.16667
10,2002,19,31.58333,71.6
10,2002,22,-35.08333,139.91667
10,2003,1,35.36667,136.76667
10,2003,11,29.58333,77.58333
10,2003,18,11.33333,10.08333
10,2003,20,25.14333,75.81333
10,2003,21,39.26333,31.78
10,2003,22,-7.75,112.01667
10,2003,23,36.54194,29.41822
10,2004,6,29.45,-96
10,2004,19,20.4625,86.70278
10,2004,23,48.4,-3.3
10,2004,23,48.11667,-3.08333
10,2005,4,38.98333,141.61667
10,2005,17,29.53333,72.3
10,2005,19,25.55,83.11667
10,2005,20,26.95,77.88333
10,2005,23,28.01667,75.81667
10,2006,4,56.75,75.33333
10,2006,13,25.1,81.53333
10,2006,20,16,36
10,2006,22,14,28
10,2007,2,54.4,10.15
10,2007,8,16.58333,-11.33333
10,2007,17,36.85,138.38333
10,2007,22,55,34
10,2007,23,12.76667,9.8
10,2008,6,43.58333,-89.6
10,2008,14,54.66667,-7.66667
10,2009,6,11.63333,24.68333
10,2009,20,30.75,-95.95
10,2009,23,48.16667,22.30833
10,2010,4,43.38333,-80.38333
10,2010,17,51.6,10.8
10,2010,18,48.9,22.4
10,2010,20,34.73333,135.16667
10,2010,20,34.3,133.95
10,2010,21,35.73333,139.75
10,2010,22,42.51667,26.16667
10,2010,22,48.76367,21.17633
10,2011,15,49.32694,7.46472
10,2011,19,54.03333,40.9
10,2011,20,54.33333,56.08333
10,2011,21,56.8,77
10,2011,23,47.83333,30.76667
10,2012,2,51.15,31.7
10,2012,6,30.73111,66.80222
10,2012,15,50.75,33.5
10,2012,19,41.11667,45
10,2012,20,55.78333,61.36667
10,2012,20,42.25,59.2
10,2012,21,37.05,138.38333
10,2012,21,29.68333,78.38333
10,2012,22,44.51667,39.3
10,2012,22,10.83333,76.03333
10,2012,24,55.2,75.33333
10,2013,4,32.03333,130.63333
10,2013,18,47.08333,1.75
10,2013,19,20.66667,-101.28333
10,2013,19,-37.33333,-61.53333
10,2013,19,-31.23333,-58.16667
10,2013,20,44.28333,5.58333
10,2013,20,26.78333,82.71667
10,2013,21,48.76667,0.63333
10,2013,22,21.86667,76.03333
10,2013,23,24.45,78.56667
10,1965,21,47.7,1.06667
10,1978,7,43.75,5.11667
10,1994,4,58.85,16.73333
10,1995,13,46.24167,126.19611
10,1995,22,47.75,16.23333
10,1995,22,33.13333,115.16667
10,1998,1,51.9,-1.11667
10,1998,19,52.45,51.56667
10,1999,14,47.16667,0.43333
10,1999,20,48.53333,-0.86667
10,1999,22,35.88333,-99.33333
10,2000,14,-25.66667,28.36667
10,2000,18,52.66667,-6.96667
10,2001,3,34.58333,-87.5
10,2001,19,52.26667,32.85
10,2001,22,48.35,3.25
10,2002,7,50.36667,4.73333
10,2002,18,-26.15,26.18333
10,2002,19,56.65,15.86667
10,2002,19,52.56667,-8.78333
10,2002,19,52.75,12.9
10,2002,19,31.63333,118.98333
10,2002,19,50.2,14.85
10,2002,19,37.91667,-92.08333
10,2002,19,56,26.43333
10,2002,20,29.53333,71.8
10,2002,20,26.96556,72.62667
10,2002,22,38.70066,-77.21163
10,2003,19,38,-0.83333
10,2003,21,36.00833,-95.15
10,2003,23,38.25,-85.75
10,2004,19,52,19.91667
10,2005,3,24.95,75.15
10,2005,13,32.03333,-84.76667
10,2005,19,24.8,103.3
10,2005,21,56.21667,13.03333
10,2006,2,61.2,27.7
10,2006,2,19,97
10,2006,20,-5.2,-36.66667
10,2006,23,-15.21222,35.24222
10,2007,4,-28.83333,31.95
10,2007,16,25.91667,86.36667
10,2007,21,-7.75,111.53333
10,2008,0,40.41667,-3.71667
10,2008,10,-26.16667,-49.93333
10,2008,17,37.86667,27.51667
10,2008,21,-19.48333,31.65
10,2009,1,27.66667,95.78333
10,2009,19,12.83333,9.38333
10,2009,21,32.21667,-104
10,2010,6,9.5,31.75
10,2010,19,-3.13333,33.51667
10,2010,21,-29.45,26.76667
10,2011,0,45.21667,62.08333
10,2011,2,23.05,86.7
10,2011,5,20.96667,76.1
10,2011,10,-17.65,31.6
10,2011,17,45.81667,44.63333
10,2011,18,34.23333,72.08333
10,2011,19,42.71667,-99.38333
10,2011,20,54.76183,11.46745
10,2011,22,4.66667,29.25
10,2012,2,-22.25,-49.93333
10,2012,13,41.9,-91.6
10,2012,19,61.5,30.5
10,2012,20,44.5,0.15
10,2012,21,-14.2,48.1
10,2012,21,35.8,-84.1
10,2012,23,45.36667,1.86667
10,2013,1,48.13333,12.61667
10,2013,16,-20,57
10,2013,18,8.96667,12.08333
10,2013,19,24.68333,-101.68333
10,2013,20,-1.21667,30
10,2013,20,1.06667,34.16667
10,2013,23,-27.25,-67.5
10,1949,20,29.01667,77.8
10,1952,24,-6.23333,106.88333
10,1954,21,53.18333,13.15
10,1956,21,46.81867,7.21817
10,1957,22,55.05,12.06667
10,1962,22,0,37.66667
10,1965,21,25.48333,81.98333
10,1966,19,38.18333,15.56667
10,1967,4,50.58333,11.1
10,1967,19,45.76667,3.25
10,1967,23,46.5,25.73333
10,1968,20,25.9,83.61667
10,1969,6,34.8,111.7
10,1969,19,54.56667,-1.16667
10,1970,10,42.9075,-90.36556
10,1971,18,48.06667,30.96667
10,1971,24,35.56833,133.22
10,1973,16,46.23333,17.53333
10,1973,19,46.18333,16.1
10,1974,1,-26.45,120.36667
10,1974,22,35.4,-92.05
10,1975,3,37.28333,14.7
10,1975,16,32.33333,120.66667
10,1975,17,47.7,16.6
10,1975,19,25.68333,83.25
10,1975,22,56.66667,23
10,1976,19,61.73333,5.93333
10,1977,21,46.8,24.03333
10,1978,2,38.5,-101.1
10,1978,19,-39.63333,174.4
10,1978,22,38.11667,-1.16667
10,1979,19,-31.25,26.46667
10,1980,3,31.60833,-102.85833
10,1980,19,35.25,-80.5
10,1980,23,38.01667,-8.25
10,1981,9,43.26667,13.35
10,1982,14,43.39056,1.9625
10,1982,19,47.63333,1.58333
10,1982,20,35.41667,-79.38333
10,1983,19,52.45,-8.33333
10,1984,8,-40.975,145.6
10,1984,19,28.78333,78.83333
10,1984,23,49.6,18.53333
10,1985,19,44.6,5.13333
10,1986,2,59.43333,10.7
10,1986,18,26.83333,77.33333
10,1986,19,45.2,8.5
10,1987,2,-29.8,141.7
10,1987,21,18.7,4.8
10,1987,21,-11.5,33.5
10,1988,0,12.63333,77.01667
10,1988,13,24.5,90.21667
10,1988,20,-36.61667,145.2
10,1988,21,36.6,-88.1
10,1989,5,26.13333,85.53333
10,1989,20,12,1
10,1989,23,38.12167,140.06167
10,1990,17,26.98333,78.21667
10,1990,21,49.16667,19.5
10,1990,23,31.31667,30.35
10,1992,10,13.73333,100.08333
10,1992,22,12.28333,79.2
10,1993,15,35.66667,103.5
10,1993,20,38.41667,-77.16667
10,1994,14,32.11667,121.8
10,1994,19,19.25,77
10,1994,21,33.75,51.5
10,1994,23,-34.05,150.68889
10,1995,1,-21.73333,165.9
10,1995,17,21.25,83.66667
10,1995,21,36.44917,136.46528
10,1995,22,18.68333,83.48333
10,1996,0,9.5,35.33333
10,1996,18,56.5,21.5
10,1997,2,47.525,10.80833
10,1997,7,40,-81.76667
10,1997,17,15.36667,35.68333
10,1997,19,29.94718,-90.10976
10,1997,20,-7.45,111.41667
10,1997,20,13.85,-4.38333
10,1997,22,52.45,78.63333
10,1997,24,56.11667,37.33333
10,1998,6,29.86667,121.48333
10,1998,16,32.925,105.90667
10,1998,19,34.2,131.56667
10,1998,21,-28.56667,30.7
10,1998,22,44.08333,-69.48333
10,1998,23,40.08528,-86.055
10,1999,2,-32.36667,-59.83333
10,1999,3,36.21667,-92.26667
10,1999,6,39.68333,-99.86667
10,1999,14,45.29167,11.52722
10,1999,18,54.81667,46
10,1999,19,56,22
10,1999,20,42.91667,102.46667
10,1999,20,24.3,-102.13333
10,1999,23,41.63333,0.75
10,1999,24,43.33333,141.86667
10,2000,1,21.20833,94.91667
10,2000,4,47.55,22.025
10,2000,12,57.78333,55.26667
10,2000,17,52.28333,8.05
10,2000,18,58.5,23
10,2000,20,47.88333,22.03333
10,2000,21,46.06667,23.58333
10,2001,3,6.75,8.5
10,2001,10,38.18333,-5.4
10,2001,13,36.18333,139.21667
10,2001,15,35.08333,135.2
10,2001,17,50.83333,25.5
10,2001,20,52.95,8.16667
10,2001,20,38.71667,-7.06667
10,2001,20,39.56667,-2.1
10,2001,21,64.02,161.80833
10,2001,22,43.88333,1.38333
10,2002,1,28.5475,-81.36222
10,2002,4,47.11667,6.15
10,2002,18,42.13333,12.93333
10,2002,20,58.88333,9.4
10,2002,22,38.4,140.35
10,2003,0,38.6,-95.21667
10,2003,6,12.9,0.08
10,2003,11,30.18,-6.57717
10,2003,17,24.3,-13.1
10,2003,18,37.60833,-8.28
10,2003,19,-18,16
10,2003,20,43.4,-5.86667
10,2003,21,21.05,-99.3
10,2003,23,55.66667,25
10,2004,0,17.74333,120.45583
10,2004,1,-23.11667,-65.1
10,2004,2,43.48333,118.61667
10,2004,5,39.8,-91.5
10,2004,8,21.3,-157.78333
10,2004,19,15.08333,120.7
10,2004,21,8.06667,124.28333
10,2004,23,36.06667,-90.5
10,2004,23,-6.23333,-40.7
10,2005,3,-19.13333,-51.66667
10,2005,8,41.48472,-87.67917
10,2005,11,9.23333,78.35
10,2005,16,26.2,85.4
10,2005,20,36.21667,-103.4
10,2005,21,20.93694,82.05
10,2005,22,-19.53333,-48.56667
10,2005,23,38.13333,14.96667
10,2005,23,23.15,91.18333
10,2006,0,43.46667,25.51667
10,2006,15,52.3,77.03333
10,2006,19,48.53333,35.98333
10,2006,21,52.03333,43
10,2007,2,56.13333,-117.93333
10,2007,13,51.66667,9.25
10,2007,18,41.28333,-73.91667
10,2007,20,30.125,-103.11667
10,2007,21,-10.66667,35.5
10,2008,0,23.325,91
10,2008,7,56.4,-3.43333
10,2008,16,56.63333,39.43333
10,2008,18,55.5,66.08333
10,2008,19,14.052,0.42
10,2008,20,35.3,-86.63333
10,2008,21,40,-99.25
10,2009,14,11.25,108.58333
10,2009,20,12,105.48333
10,2009,22,15.71667,108.1
10,2009,22,44.24417,11.50222
10,2010,2,58.66667,25.73333
10,2010,5,26.03472,73.94167
10,2010,17,-32.86667,18.71667
10,2010,20,25.8,88.45
10,2010,21,29.58333,76
10,2011,2,31.95,-83.51667
10,2011,13,30.7,-96.11667
10,2011,18,45.275,26.70972
10,2011,19,11.58333,104.91667
10,2011,20,50.93333,12.13333
10,2011,20,26.71667,82.66667
10,2011,21,66.34833,14.015
10,2011,22,53.03639,-4.31944
10,2012,0,34.175,-103.295
10,2012,2,31.41667,118.5
10,2012,16,48.3025,13.94083
10,2012,18,49.66667,14.03333
10,2012,21,39.11667,-83.85
10,2013,9,39.35,-3.51667
10,2013,15,23.36667,75.18333
10,2013,17,52.76667,21.26667
10,2013,19,13.33333,78.95
10,2013,20,-29.03333,-53.05
10,2013,22,32.08333,121.5
10,2013,23,26.53333,106.46667
10,1977,18,-30.11667,28.7
10,1989,8,17.76667,95.18333
10,1997,1,39,-0.66667
10,1997,19,44.61667,126.13333
10,1998,20,46.6,0.25
10,1998,21,-26.66667,-65.45
10,1999,18,27.72528,76.465
10,1999,22,28.225,70.2
10,1999,22,52.98333,37.03333
10,2000,23,26.45,82.9
10,2001,20,24.16667,87.76667
10,2001,21,51.88333,6.93333
10,2001,22,23.98333,87.08333
10,2002,15,19.86667,-100.81667
10,2002,19,25.38333,72.01667
10,2002,20,38.2,115.7
10,2002,21,26.66667,50.15
10,2002,22,52.2,17.98333
10,2003,2,38.13742,-119.75812
10,2003,17,42.475,-5.33333
10,2003,18,-6.73333,111.36667
10,2004,0,44.76667,11.28333
10,2004,4,-32.75,-65.28333
10,2004,19,38.66667,116.13333
10,2004,23,48.6,45.66667
10,2005,6,51.33333,-118.95
10,2005,10,28.2,76.66667
10,2005,19,35.03333,-83.03333
10,2005,19,-44.11667,-66.15
10,2005,24,46.88333,-102.31667
10,2006,18,31.25,-99.03333
10,2006,21,37.46667,-77.5
10,2007,4,-26.1,-49.8
10,2007,14,41.08333,-86.28333
10,2007,19,-23.38333,150.51667
10,2007,21,42.3,0.55
10,2008,17,44.51667,-83.95
10,2008,20,52.76667,-2.51667
10,2009,0,-1.45,29.83333
10,2009,5,0.26667,36.53333
10,2009,15,-10.26667,38.76667
10,2009,20,51.13333,34.5
10,2009,22,27.43333,82.08333
10,2010,0,23.08333,91.66667
10,2010,1,43.73333,1.38333
10,2010,18,45.3,0.23333
10,2010,21,35.66667,136.3
10,2010,22,44.97917,-122.96944
10,2011,1,52.75,11.05
10,2011,11,25.66667,74.86667
10,2011,19,33.48472,-117.6625
10,2011,20,43.66667,13
10,2011,21,-31.01667,-71.4
10,2011,22,19.76667,-100.65
10,2012,2,-29.2,-51.86667
10,2012,10,24.16667,-99.33333
10,2012,12,-33.9,-61.7
10,2012,15,-31.535556,-68.489444
10,2012,19,-20.81,-49.38056
10,2012,20,52.55,46.55
10,2012,21,43.15,-0.85
10,2012,22,47.21667,29.86667
10,2013,8,35.86667,139.4
10,2013,19,49.23333,17.56667
10,2013,20,42.86083,-73.95028
10,2013,21,48.11667,10.46667
10,2013,22,44.36667,-69.2
10,1965,19,38.3,27.13333
10,1975,19,26.75,84.78333
10,1988,3,-7.23333,107.33333
10,1989,22,22.83333,4.98333
10,1994,10,22.25,79
10,1995,3,39.43833,140.51167
10,1998,1,21.68389,79.50083
10,1998,11,41.05,23.56667
10,1998,19,-8.38333,-36.76667
10,1999,7,-19.46667,-44.21667
10,1999,15,37.41667,-6
10,2000,19,50.61667,36.6
10,2000,21,34.75,10.71667
10,2001,17,23.1,87.3
10,2001,21,37.83333,-76.7
10,2002,1,44.05,-80.16667
10,2002,19,24.55,84.83333
10,2002,23,33.65,120.06667
10,2003,6,25.85,87.5775
10,2003,17,43.5,125.66667
10,2003,20,33.71667,74.83333
